column_name,mean,std,min,max,missing_count
Air Temperature,12.605007430781761,10.444031719725915,-29.78,37.6,75
Wet Bulb Temperature,10.260581312351642,9.410593586544763,-28.9,28.4,76069
Humidity,68.02097631706138,15.62851100427468,0.0,100.0,0
Rain Intensity,0.15885331075809636,1.7931761926752934,0.0,183.6,76069
Interval Rain,0.14224420645620817,1.0962929276833413,-0.9,63.42,0
Total Rain,141.40426356589148,190.3812590295635,0.0,1056.1,76069
Precipitation Type,4.270662151619275,15.595637967505795,0.0,70.0,76069
Wind Direction,140.75102134262676,122.03180618953537,0.0,359.0,0
Wind Speed,2.9187881254610666,5.33875602929268,0.0,999.9,0
Maximum Wind Speed,3.555365164966549,5.952412551728994,0.0,999.9,0
Barometric Pressure,994.316592925986,10.026024891425761,0.0,3098.5,146
Solar Radiation,112.26348859097962,842.2973279661473,-100000.0,1277.0,0
Heading,282.0416562920173,142.7203106515479,0.0,359.0,76069
Battery Life,13.163685482434941,1.544675083955835,0.0,15.3,0
