Air Temperature,Humidity,Wind Speed,Solar Radiation,temp_difference,temp_humidity,wind_ratio,wind_solar,air_temp_rolling_24h,humidity_rolling_24h,wind_speed_rolling_7h,solar_radiation_7h
19.9,64,0.7,41.0,4.4,1273.6,0.32,28.7,21.64,67.0,1.2,361.29
19.8,63,0.9,12.0,4.4,1247.4,0.31,10.8,21.6,66.04,0.96,358.57
19.0,67,1.4,1.0,3.9,1273.0,0.27,1.4,21.49,65.67,0.87,237.71
18.1,70,1.5,1.0,3.4,1267.0,0.43,1.5,21.24,65.83,0.9,106.71
20.2,66,1.4,0.0,4.2,1333.2,0.33,0.0,21.08,65.67,1.01,27.71
21.3,64,1.1,0.0,4.6,1363.2,0.38,0.0,21.07,65.29,1.1,16.43
22.5,62,2.2,0.0,4.9,1395.0,0.46,0.0,21.1,64.96,1.31,7.86
23.0,64,1.1,0.0,4.7,1472.0,0.31,0.0,21.15,64.75,1.37,2.0
22.8,67,1.5,0.0,4.2,1527.6,0.33,0.0,21.19,64.5,1.46,0.29
21.8,72,2.0,0.0,3.4,1569.6,0.38,0.0,21.2,64.54,1.54,0.14
20.9,78,1.5,28.0,2.7,1630.2,0.33,42.0,21.2,64.62,1.54,4.0
22.0,74,0.8,167.0,3.2,1628.0,0.28,133.6,21.27,64.46,1.46,27.86
23.6,71,1.3,397.0,3.7,1675.6,0.35,516.1,21.35,64.62,1.49,84.57
24.0,69,1.0,535.0,4.1,1656.0,0.29,535.0,21.42,64.92,1.31,161.0
27.0,59,0.5,416.0,6.0,1593.0,0.24,208.0,21.59,65.0,1.23,220.43
24.7,71,1.4,43.0,3.9,1753.7,0.33,60.2,21.71,65.12,1.21,226.57
23.9,77,2.1,453.0,3.1,1840.3,0.41,951.3,21.72,66.17,1.23,291.29
23.6,75,2.2,939.0,3.3,1770.0,0.42,2065.8,21.76,66.96,1.33,421.43
23.8,75,1.9,476.0,3.2,1785.0,0.44,904.4,21.96,67.08,1.49,465.57
23.6,75,1.9,75.0,3.2,1770.0,0.41,142.5,22.05,67.79,1.57,419.57
27.1,58,0.9,188.0,6.2,1571.8,0.27,169.2,22.31,67.62,1.56,370.0
28.1,55,1.8,30.0,6.8,1545.5,0.44,54.0,22.56,67.58,1.74,314.86
27.8,56,2.0,82.0,6.6,1556.8,0.3,164.0,22.86,67.33,1.83,320.43
27.1,58,0.4,12.0,6.2,1571.8,0.14,4.8,23.15,67.08,1.59,257.43
25.7,65,1.3,12.0,4.8,1670.5,0.41,15.6,23.39,67.12,1.46,125.0
25.2,67,1.2,12.0,4.5,1688.4,0.36,14.4,23.62,67.29,1.36,58.71
24.6,70,1.4,0.0,3.9,1722.0,0.26,0.0,23.85,67.42,1.29,48.0
24.1,72,1.4,0.0,3.8,1735.2,0.29,0.0,24.1,67.5,1.36,21.14
23.6,70,2.1,0.0,3.9,1652.0,0.33,0.0,24.24,67.67,1.4,16.86
23.1,74,1.5,0.0,3.4,1709.4,0.21,0.0,24.32,68.08,1.33,5.14
22.7,76,1.7,0.0,3.1,1725.2,0.32,0.0,24.33,68.67,1.51,3.43
22.2,78,1.2,0.0,2.6,1731.6,0.3,0.0,24.29,69.25,1.5,1.71
21.9,81,1.5,0.0,2.3,1773.9,0.25,0.0,24.25,69.83,1.54,0.0
21.8,82,0.8,2.0,2.2,1787.6,0.23,1.6,24.25,70.25,1.46,0.29
21.3,87,0.5,86.0,1.6,1853.1,0.22,43.0,24.27,70.62,1.33,12.57
21.4,86,1.3,58.0,1.7,1840.4,0.38,75.4,24.25,71.12,1.21,20.86
21.3,80,1.2,52.0,2.5,1704.0,0.35,62.4,24.15,71.5,1.17,28.29
19.7,89,0.7,68.0,1.2,1753.3,0.33,47.6,23.97,72.33,1.03,38.0
11.9,94,4.3,90.0,0.5,1118.6,0.57,387.0,23.34,73.79,1.47,50.86
10.9,94,5.5,151.0,0.5,1024.6,0.62,830.5,22.77,74.75,2.04,72.43
10.1,94,7.0,76.0,0.5,949.4,0.53,532.0,22.19,75.46,2.93,83.0
9.7,93,6.7,67.0,0.5,902.1,0.58,448.9,21.61,76.21,3.81,80.29
9.4,93,8.0,47.0,0.5,874.2,0.68,376.0,21.01,76.96,4.77,78.71
9.2,93,8.2,51.0,0.6,855.6,0.63,418.2,20.41,77.71,5.77,78.57
9.2,93,8.2,16.0,0.6,855.6,0.63,131.2,19.67,79.17,6.84,71.14
8.6,95,7.7,26.0,0.4,817.0,0.58,200.2,18.85,80.83,7.33,62.0
8.1,92,8.8,12.0,0.6,745.2,0.65,105.6,18.03,82.33,7.8,42.14
8.2,91,10.2,5.0,0.8,746.2,0.71,51.0,17.25,83.71,8.26,32.0
8.2,91,9.0,3.0,0.7,746.2,0.66,27.0,16.52,84.79,8.59,22.86
8.1,88,9.1,3.0,0.9,712.8,0.69,27.3,15.8,85.67,8.74,16.57
8.3,87,8.0,3.0,1.1,722.1,0.63,24.0,15.12,86.38,8.71,9.71
8.1,88,7.9,3.0,1.0,712.8,0.61,23.7,14.46,87.04,8.67,7.86
7.7,89,8.3,4.0,0.9,685.3,0.66,33.2,13.8,87.83,8.76,4.71
7.3,90,8.7,3.0,0.7,657.0,0.69,26.1,13.14,88.5,8.74,3.43
7.4,89,8.2,4.0,0.9,658.6,0.69,32.8,12.5,89.04,8.46,3.29
7.0,90,8.9,4.0,0.8,630.0,0.72,35.6,11.87,89.54,8.44,3.43
7.1,93,8.0,7.0,0.5,660.3,0.66,56.0,11.25,90.04,8.29,4.0
7.5,93,6.5,19.0,0.5,697.5,0.64,123.5,10.65,90.5,8.07,6.29
7.5,93,6.7,41.0,0.6,697.5,0.66,274.7,10.08,90.75,7.9,11.71
7.8,89,6.4,67.0,0.9,694.2,0.6,428.8,9.51,90.88,7.63,20.71
8.0,88,7.3,110.0,1.0,704.0,0.65,803.0,8.96,91.21,7.43,36.0
8.3,87,6.2,139.0,1.0,722.1,0.54,861.8,8.48,91.12,7.14,55.29
8.6,84,7.0,236.0,1.3,722.4,0.69,1652.0,8.35,90.71,6.87,88.43
8.9,84,6.6,436.0,1.3,747.6,0.66,2877.6,8.26,90.29,6.67,149.71
9.3,80,7.1,260.0,1.7,744.0,0.67,1846.0,8.23,89.71,6.76,184.14
9.7,80,5.1,295.0,1.7,776.0,0.62,1504.5,8.23,89.17,6.53,220.43
9.1,80,5.9,177.0,1.6,728.0,0.63,1044.3,8.22,88.62,6.46,236.14
9.0,80,5.7,307.0,1.7,720.0,0.68,1749.9,8.21,88.08,6.23,264.29
9.0,82,5.2,158.0,1.5,738.0,0.69,821.6,8.2,87.62,6.09,267.0
8.8,82,4.3,37.0,1.6,721.6,0.59,159.1,8.21,87.08,5.7,238.57
8.8,81,4.3,13.0,1.6,712.8,0.61,55.9,8.24,86.62,5.37,178.14
8.6,80,4.9,3.0,1.6,688.0,0.69,14.7,8.25,86.17,5.06,141.43
8.6,81,3.3,3.0,1.5,696.6,0.6,9.9,8.27,85.75,4.8,99.71
8.4,83,2.4,3.0,1.4,697.2,0.5,7.2,8.28,85.54,4.3,74.86
8.9,84,1.6,3.0,1.3,747.6,0.48,4.8,8.31,85.42,3.71,31.43
10.0,84,2.6,3.0,1.3,840.0,0.55,7.8,8.39,85.25,3.34,9.29
9.9,78,4.4,3.0,1.9,772.2,0.56,13.2,8.48,84.79,3.36,4.43
9.3,82,4.4,3.0,1.6,762.6,0.66,13.2,8.56,84.46,3.37,3.0
9.2,82,4.7,3.0,1.5,754.4,0.64,14.1,8.64,84.17,3.34,3.0
